,Title,key_1,Year,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
385,a man of no importance,1994,1994,tt0110455,movie,a man of no importance,a man of no importance,0.0,1994.0,,99,"Comedy,Drama"
2939,a map of the world,1999,1999,tt0160513,movie,a map of the world,a map of the world,0.0,1999.0,,125,Drama
2486,a midsummer night's dream,1999,1999,tt0140379,movie,a midsummer night's dream,a midsummer night's dream,0.0,1999.0,,116,"Comedy,Fantasy,Romance"
626,a modern affair,1995,1995,tt0113839,movie,a modern affair,a modern affair,0.0,1995.0,,90,"Comedy,Drama,Romance"
741,a month by the lake,1995,1995,tt0113849,movie,a month by the lake,a month by the lake,0.0,1995.0,,92,"Comedy,Drama,Romance"
2170,a night at the roxbury,1998,1998,tt0120770,movie,a night at the roxbury,a night at the roxbury,0.0,1998.0,,82,"Comedy,Music,Romance"
3177,a night to remember,1958,1958,tt0051994,movie,a night to remember,a night to remember,0.0,1958.0,,123,"Drama,History"
1281,a nightmare on elm street,1984,1984,tt0087800,movie,a nightmare on elm street,a nightmare on elm street,0.0,1984.0,,91,Horror
1869,a nightmare on elm street 3: dream warriors,1987,1987,tt0093629,movie,a nightmare on elm street 3: dream warriors,a nightmare on elm street 3: dream warriors,0.0,1987.0,,96,"Fantasy,Horror"
1870,a nightmare on elm street 4: the dream master,1988,1988,tt0095742,movie,a nightmare on elm street 4: the dream master,a nightmare on elm street 4: the dream master,0.0,1988.0,,93,Horror
1868,a nightmare on elm street part 2: freddy's revenge,1985,1985,tt0089686,movie,a nightmare on elm street 2: freddy's revenge,a nightmare on elm street part 2: freddy's revenge,0.0,1985.0,,87,Horror
1077,a perfect candidate,1996,1996,tt0117320,movie,a perfect candidate,a perfect candidate,0.0,1996.0,,105,Documentary
1793,a perfect murder,1998,1998,tt0120787,movie,a perfect murder,a perfect murder,0.0,1998.0,,107,"Crime,Drama,Thriller"
514,a perfect world,1993,1993,tt0107808,movie,a perfect world,a perfect world,0.0,1993.0,,138,"Crime,Drama,Thriller"
3236,a place in the sun,1951,1951,tt0043924,movie,a place in the sun,a place in the sun,0.0,1951.0,,122,"Drama,Romance"
1719,a price above rubies,1998,1998,tt0120793,movie,a price above rubies,a price above rubies,0.0,1998.0,,117,"Drama,Romance"
301,a pyromaniac's love story,1995,1995,tt0114210,movie,a pyromaniac's love story,a pyromaniac's love story,0.0,1995.0,,94,"Comedy,Romance"
3130,a raisin in the sun,1961,1961,tt0055353,movie,a raisin in the sun,a raisin in the sun,0.0,1961.0,,128,Drama
2906,a river runs through it,1992,1992,tt0105265,movie,a river runs through it,a river runs through it,0.0,1992.0,,123,Drama
2258,a simple plan,1998,1998,tt0120324,movie,a simple plan,a simple plan,0.0,1998.0,,121,"Crime,Drama,Thriller"
546,a simple twist of fate,1994,1994,tt0111194,movie,a simple twist of fate,a simple twist of fate,0.0,1994.0,,106,"Comedy,Drama"
1500,a simple wish,1997,1997,tt0120133,movie,a simple wish,a simple wish,0.0,1997.0,,89,"Comedy,Family,Fantasy"
1554,a smile like yours,1997,1997,tt0120151,movie,a smile like yours,a smile like yours,0.0,1997.0,,98,"Comedy,Romance"
2151,a soldier's daughter never cries,1998,1998,tt0120835,movie,a soldier's daughter never cries,a soldier's daughter never cries,0.0,1998.0,,127,Drama
2702,a soldier's story,1984,1984,tt0088146,movie,a soldier's story,a soldier's story,0.0,1984.0,,101,"Crime,Drama,Mystery"
3014,a star is born,1937,1937,tt0029606,movie,a star is born,a star is born,0.0,1937.0,,111,"Drama,Romance"
1070,a streetcar named desire,1951,1951,tt0044081,movie,a streetcar named desire,a streetcar named desire,0.0,1951.0,,122,Drama
629,a thin line between love and hate,1996,1996,tt0117891,movie,a thin line between love and hate,a thin line between love and hate,0.0,1996.0,,108,"Comedy,Crime,Drama"
1543,a thousand acres,1997,1997,tt0120323,movie,a thousand acres,a thousand acres,0.0,1997.0,,105,Drama
1373,a tickle in the heart,1996,1996,tt0117907,movie,a tickle in the heart,a tickle in the heart,0.0,1996.0,,87,"Documentary,Music"
797,a time to kill,1996,1996,tt0117913,movie,a time to kill,a time to kill,0.0,1996.0,,149,"Crime,Drama,Thriller"
807,a very brady sequel,1996,1996,tt0118073,movie,a very brady sequel,a very brady sequel,0.0,1996.0,,90,Comedy
785,a very natural thing,1974,1974,tt0072362,movie,a very natural thing,a very natural thing,0.0,1974.0,,80,"Drama,Romance"
2245,a view to a kill,1985,1985,tt0090264,movie,a view to a kill,a view to a kill,0.0,1985.0,,131,"Action,Adventure,Thriller"
230,a walk in the clouds,1995,1995,tt0114887,movie,a walk in the clouds,a walk in the clouds,0.0,1995.0,,102,"Drama,Romance"
937,a walk in the sun,1945,1945,tt0038235,movie,a walk in the sun,a walk in the sun,0.0,1945.0,,117,"Drama,War"
2432,a walk on the moon,1999,1999,tt0120613,movie,a walk on the moon,a walk on the moon,0.0,1999.0,,107,"Drama,Romance"
3020,a zed & two noughts,1985,1985,tt0090366,movie,a zed & two noughts,a zed & two noughts,0.0,1985.0,,115,"Comedy,Drama"
3567,about adam,2000,2000,tt0199314,movie,about adam,about adam,0.0,2000.0,,97,"Comedy,Romance"
2136,about last night...,1986,1986,tt0090583,movie,about last night,about last night...,0.0,1986.0,,113,"Comedy,Drama,Romance"
404,above the rim,1994,1994,tt0109035,movie,above the rim,above the rim,0.0,1994.0,,96,"Crime,Drama,Sport"
1386,absolute power,1997,1997,tt0118548,movie,absolute power,absolute power,0.0,1997.0,,121,"Action,Crime,Drama"
340,ace ventura: pet detective,1994,1994,tt0109040,movie,ace ventura: pet detective,ace ventura: pet detective,0.0,1994.0,,86,Comedy
23,ace ventura: when nature calls,1995,1995,tt0112281,movie,ace ventura: when nature calls,ace ventura: when nature calls,0.0,1995.0,,90,"Adventure,Comedy,Crime"
2669,aces: iron eagle iii,1992,1992,tt0103617,movie,aces: iron eagle iii,aces: iron eagle iii,0.0,1992.0,,98,Action
47,across the sea of time,1995,1995,tt0112286,movie,across the sea of time,across the sea of time,0.0,1995.0,,51,"Adventure,Drama,Family"
3439,action jackson,1988,1988,tt0094612,movie,action jackson,action jackson,0.0,1988.0,,96,"Action,Comedy,Crime"
405,addams family values,1993,1993,tt0106220,movie,addams family values,addams family values,0.0,1993.0,,94,"Comedy,Fantasy"
1459,addicted to love,1997,1997,tt0118556,movie,addicted to love,addicted to love,0.0,1997.0,,100,"Comedy,Romance"
1311,adrenalin: fear the rush,1996,1996,tt0115471,movie,adrenalin: fear the rush,adrenalin: fear the rush,0.0,1996.0,,77,"Action,Sci-Fi,Thriller"
2014,adventures in babysitting,1987,1987,tt0092513,movie,adventures in babysitting,adventures in babysitting,0.0,1987.0,,102,"Adventure,Comedy,Crime"
2306,affliction,1997,1997,tt0118564,movie,affliction,affliction,0.0,1997.0,,114,"Drama,Mystery,Thriller"
1647,afterglow,1997,1997,tt0118566,movie,afterglow,afterglow,0.0,1997.0,,119,"Comedy,Drama,Romance"
3005,against all odds,1984,1984,tt0086859,movie,against all odds,against all odds,0.0,1984.0,,128,"Action,Adventure,Crime"
2934,agnes browne,1999,1999,tt0160509,movie,agnes browne,agnes browne,0.0,1999.0,,92,"Comedy,Drama,Romance"
3040,agnes of god,1985,1985,tt0088683,movie,agnes of god,agnes of god,0.0,1985.0,,98,"Drama,Mystery"
3561,aimée & jaguar,1999,1999,tt0130444,movie,aimee & jaguar,aimée & jaguar,0.0,1999.0,,125,"Biography,Drama,Romance"
3553,air america,1990,1990,tt0099005,movie,air america,air america,0.0,1990.0,,113,"Action,Comedy,War"
1512,air bud,1997,1997,tt0118570,movie,air bud,air bud,0.0,1997.0,,98,"Comedy,Drama,Family"
2033,air bud: golden receiver,1998,1998,tt0140796,movie,air bud: golden receiver,air bud: golden receiver,0.0,1998.0,,90,"Comedy,Family,Sport"
1529,air force one,1997,1997,tt0118571,movie,air force one,air force one,0.0,1997.0,,124,"Action,Drama,Thriller"
407,airheads,1994,1994,tt0109068,movie,airheads,airheads,0.0,1994.0,,92,"Comedy,Crime,Music"
2645,airplane ii: the sequel,1982,1982,tt0083530,movie,airplane ii: the sequel,airplane ii: the sequel,0.0,1982.0,,85,"Comedy,Sci-Fi"
2644,airplane!,1980,1980,tt0080339,movie,airplane!,airplane!,0.0,1980.0,,88,Comedy
2383,airport,1970,1970,tt0065377,movie,airport,airport,0.0,1970.0,,137,"Action,Drama,Thriller"
2385,airport '77,1977,1977,tt0075648,movie,airport '77,airport '77,0.0,1977.0,,114,"Action,Drama,Thriller"
2384,airport 1975,1974,1974,tt0071110,movie,airport 1975,airport 1975,0.0,1974.0,,107,"Action,Drama,Thriller"
1212,akira,1988,1988,tt0094625,movie,akira,akira,0.0,1988.0,,124,"Action,Animation,Drama"
590,aladdin,1992,1992,tt0103639,movie,aladdin,aladdin,0.0,1992.0,,90,"Adventure,Animation,Comedy"
801,alaska,1996,1996,tt0115493,movie,alaska,alaska,0.0,1996.0,,109,"Adventure,Family"
1283,albino alligator,1996,1996,tt0115495,movie,albino alligator,albino alligator,0.0,1996.0,,94,"Crime,Drama,Thriller"
944,algiers,1938,1938,tt0029855,movie,algiers,algiers,0.0,1938.0,,96,"Drama,Mystery,Romance"
1001,alice in wonderland,1951,1951,tt0043274,movie,alice in wonderland,alice in wonderland,0.0,1951.0,,75,"Adventure,Animation,Comedy"
1153,alien,1979,1979,tt0078748,movie,alien,alien,0.0,1979.0,,117,"Horror,Sci-Fi"
3430,alien nation,1988,1988,tt0094631,movie,alien nation,alien nation,0.0,1988.0,,91,"Action,Sci-Fi"
1143,aliens,1986,1986,tt0090605,movie,aliens,aliens,0.0,1986.0,,137,"Action,Adventure,Sci-Fi"
1255,alien³,1992,1992,tt0103644,movie,alien³,alien³,0.0,1992.0,,114,"Action,Horror,Sci-Fi"
3039,alive,1993,1993,tt0106246,movie,alive,alive,0.0,1993.0,,120,"Biography,Drama,Thriller"
897,all about eve,1950,1950,tt0042192,movie,all about eve,all about eve,0.0,1950.0,,138,Drama
2007,all dogs go to heaven,1989,1989,tt0096787,movie,all dogs go to heaven,all dogs go to heaven,0.0,1989.0,,84,"Adventure,Animation,Comedy"
637,all dogs go to heaven 2,1996,1996,tt0115509,movie,all dogs go to heaven 2,all dogs go to heaven 2,0.0,1996.0,,82,"Adventure,Animation,Family"
1431,all over me,1997,1997,tt0118586,movie,all over me,all over me,0.0,1997.0,,86,"Crime,Drama,Romance"
1825,all quiet on the western front,1930,1930,tt0020629,movie,all quiet on the western front,all quiet on the western front,0.0,1930.0,,152,"Drama,War"
2802,all that jazz,1979,1979,tt0078754,movie,all that jazz,all that jazz,0.0,1979.0,,123,"Drama,Music,Musical"
1840,all the king's men,1949,1949,tt0041113,movie,all the king's men,all the king's men,0.0,1949.0,,110,"Drama,Film-Noir"
3571,all the rage,1999,1999,tt0176426,movie,all the rage,all the rage,0.0,1999.0,,99,"Comedy,Drama"
3288,all the vermeers in new york,1990,1990,tt0099014,movie,all the vermeers in new york,all the vermeers in new york,0.0,1990.0,,87,"Comedy,Drama,Romance"
2388,alligator,1980,1980,tt0080354,movie,alligator,alligator,0.0,1980.0,,91,"Horror,Sci-Fi,Thriller"
3596,almost famous,2000,2000,tt0181875,movie,almost famous,almost famous,0.0,2000.0,,122,"Adventure,Comedy,Drama"
1785,almost heroes,1998,1998,tt0119053,movie,almost heroes,almost heroes,0.0,1998.0,,90,"Adventure,Comedy,Western"
2743,alvarez kelly,1966,1966,tt0060095,movie,alvarez kelly,alvarez kelly,0.0,1966.0,,116,Western
1160,amadeus,1984,1984,tt0086879,movie,amadeus,amadeus,0.0,1984.0,,160,"Biography,Drama,Music"
164,amateur,1994,1994,tt0109093,movie,amateur,amateur,0.0,1994.0,,105,"Comedy,Crime,Drama"
2706,american beauty,1999,1999,tt0169547,movie,american beauty,american beauty,0.0,1999.0,,122,Drama
800,american buffalo,1996,1996,tt0115530,movie,american buffalo,american buffalo,0.0,1996.0,,88,Drama
1112,american dream,1990,1990,tt0099028,movie,american dream,american dream,0.0,1990.0,,98,Documentary
3012,american flyers,1985,1985,tt0088707,movie,american flyers,american flyers,0.0,1985.0,,113,"Drama,Sport"
3392,american gigolo,1980,1980,tt0080365,movie,american gigolo,american gigolo,0.0,1980.0,,117,"Crime,Drama,Mystery"
3141,american graffiti,1973,1973,tt0069704,movie,american graffiti,american graffiti,0.0,1973.0,,110,"Comedy,Drama"
2200,american history x,1998,1998,tt0120586,movie,american history x,american history x,0.0,1998.0,,119,"Crime,Drama"
2828,american movie,1999,1999,tt0181288,movie,american movie,american movie,0.0,1999.0,,107,"Comedy,Documentary"
2566,american pie,1999,1999,tt0163651,movie,american pie,american pie,0.0,1999.0,,95,Comedy
3446,american pimp,1999,1999,tt0179074,movie,american pimp,american pimp,0.0,1999.0,,87,Documentary
3454,american pop,1981,1981,tt0082009,movie,american pop,american pop,0.0,1981.0,,96,"Animation,Drama,History"
3291,american psycho,2000,2000,tt0144084,movie,american psycho,american psycho,0.0,2000.0,,102,"Crime,Drama,Horror"
1068,american strays,1996,1996,tt0115531,movie,american strays,american strays,0.0,1996.0,,97,"Action,Comedy"
1610,amistad,1997,1997,tt0118607,movie,amistad,amistad,0.0,1997.0,,155,"Biography,Drama,History"
1259,amityville 3-d,1983,1983,tt0085159,movie,amityville 3-d,amityville 3-d,0.0,1983.0,,105,Horror
1262,amityville ii: the possession,1982,1982,tt0083550,movie,amityville ii: the possession,amityville ii: the possession,0.0,1982.0,,104,Horror
2431,among giants,1998,1998,tt0122906,movie,among giants,among giants,0.0,1998.0,,94,"Comedy,Romance"
1370,amos & andrew,1993,1993,tt0106266,movie,amos & andrew,amos & andrew,0.0,1993.0,,96,"Comedy,Crime"
903,an affair to remember,1957,1957,tt0050105,movie,an affair to remember,an affair to remember,0.0,1957.0,,115,"Drama,Romance"
1754,an alan smithee film: burn hollywood burn,1997,1997,tt0118577,movie,an alan smithee film: burn hollywood burn,an alan smithee film: burn hollywood burn,0.0,1997.0,,86,Comedy
871,an american in paris,1951,1951,tt0043278,movie,an american in paris,an american in paris,0.0,1951.0,,114,"Drama,Musical,Romance"
2022,an american tail,1986,1986,tt0090633,movie,an american tail,an american tail,0.0,1986.0,,80,"Adventure,Animation,Comedy"
2023,an american tail: fievel goes west,1991,1991,tt0101329,movie,an american tail: fievel goes west,an american tail: fievel goes west,0.0,1991.0,,75,"Adventure,Animation,Family"
1257,an american werewolf in london,1981,1981,tt0082010,movie,an american werewolf in london,an american werewolf in london,0.0,1981.0,,97,"Comedy,Horror"
2646,an american werewolf in paris,1997,1997,tt0118604,movie,an american werewolf in paris,an american werewolf in paris,0.0,1997.0,,98,"Comedy,Fantasy,Horror"
163,an awfully big adventure,1995,1995,tt0112427,movie,an awfully big adventure,an awfully big adventure,0.0,1995.0,,112,"Comedy,Drama,Romance"
2559,an ideal husband,1999,1999,tt0160395,movie,an ideal husband,an ideal husband,0.0,1999.0,,90,"Comedy,Romance"
2558,an ideal husband,1999,1999,tt0122541,movie,an ideal husband,an ideal husband,0.0,1999.0,,97,"Comedy,Romance"
1423,anaconda,1997,1997,tt0118615,movie,anaconda,anaconda,0.0,1997.0,,89,"Action,Adventure,Horror"
2402,analyze this,1999,1999,tt0122933,movie,analyze this,analyze this,0.0,1999.0,,103,"Comedy,Crime"
1605,anastasia,1997,1997,tt0118617,movie,anastasia,anastasia,0.0,1997.0,,94,"Adventure,Animation,Drama"
3519,anatomy of a murder,1959,1959,tt0052561,movie,anatomy of a murder,anatomy of a murder,0.0,1959.0,,161,"Drama,Mystery"
3351,anchors aweigh,1945,1945,tt0037514,movie,anchors aweigh,anchors aweigh,0.0,1945.0,,140,"Comedy,Fantasy,Musical"
3124,and god created woman,1988,1988,tt0092559,movie,and god created woman,and god created woman,0.0,1988.0,,98,"Comedy,Drama,Romance"
2641,and now for something completely different,1971,1971,tt0066765,movie,and now for something completely different,and now for something completely different,0.0,1971.0,,88,Comedy
582,andre,1994,1994,tt0109120,movie,andre,andre,0.0,1994.0,,95,"Adventure,Drama,Family"
935,angel and the badman,1947,1947,tt0039152,movie,angel and the badman,angel and the badman,0.0,1947.0,,100,"Romance,Western"
1359,angel baby,1995,1995,tt0112362,movie,angel baby,angel baby,0.0,1995.0,,105,"Drama,Romance"
3435,angel heart,1987,1987,tt0092563,movie,angel heart,angel heart,0.0,1987.0,,113,"Horror,Mystery,Thriller"
931,angel on my shoulder,1946,1946,tt0038300,movie,angel on my shoulder,angel on my shoulder,0.0,1946.0,,100,"Adventure,Comedy,Fantasy"
143,angela,1995,1995,tt0112364,movie,angela,angela,0.0,1995.0,,99,Drama
2981,angela's ashes,1999,1999,tt0145653,movie,angela's ashes,angela's ashes,0.0,1999.0,,145,"Biography,Drama"
100,angels and insects,1995,1995,tt0112365,movie,angels and insects,angels and insects,0.0,1995.0,,116,"Drama,Romance"
990,angels in the outfield,1994,1994,tt0109127,movie,angels in the outfield,angels in the outfield,0.0,1994.0,,102,"Comedy,Family,Fantasy"
693,angus,1995,1995,tt0112368,movie,angus,angus,0.0,1995.0,,90,"Comedy,Drama"
1252,anna,1996,1996,tt2661954,movie,anna,anna,0.0,1996.0,,120,History
2961,anna and the king,1999,1999,tt0166485,movie,anna and the king,anna and the king,0.0,1999.0,,148,"Drama,History,Romance"
1420,anna karenina,1997,1997,tt0118623,movie,anna karenina,anna karenina,0.0,1997.0,,108,"Drama,Romance"
135,anne frank remembered,1995,1995,tt0112373,movie,anne frank remembered,anne frank remembered,0.0,1995.0,,117,"Biography,Documentary,War"
1166,annie hall,1977,1977,tt0075686,movie,annie hall,annie hall,0.0,1977.0,,93,"Comedy,Romance"
2307,another day in paradise,1998,1998,tt0127722,movie,another day in paradise,another day in paradise,0.0,1998.0,,101,"Crime,Drama,Thriller"
409,another stakeout,1993,1993,tt0106292,movie,another stakeout,another stakeout,0.0,1993.0,,108,"Comedy,Crime"
2168,antz,1998,1998,tt0120587,movie,antz,antz,0.0,1998.0,,83,"Adventure,Animation,Comedy"
2976,any given sunday,1999,1999,tt0146838,movie,any given sunday,any given sunday,0.0,1999.0,,162,"Drama,Sport"
2871,anywhere but here,1999,1999,tt0149691,movie,anywhere but here,anywhere but here,0.0,1999.0,,114,"Comedy,Drama"
668,aparajito,1956,1956,tt0048956,movie,aparajito,aparajito,0.0,1956.0,,110,Drama
1149,apocalypse now,1979,1979,tt0078788,movie,apocalypse now,apocalypse now,0.0,1979.0,,147,"Drama,Mystery,War"
166,apollo 13,1995,1995,tt6590506,movie,apollo 13,apollo 13,0.0,1995.0,,49,Documentary
165,apollo 13,1995,1995,tt0112384,movie,apollo 13,apollo 13,0.0,1995.0,,140,"Adventure,Drama,History"
1266,april fool's day,1986,1986,tt0090655,movie,april fool's day,april fool's day,0.0,1986.0,,89,"Horror,Mystery"
2190,apt pupil,1998,1998,tt0118636,movie,apt pupil,apt pupil,0.0,1998.0,,111,"Crime,Drama,Thriller"
2562,arachnophobia,1990,1990,tt0099052,movie,arachnophobia,arachnophobia,0.0,1990.0,,109,"Comedy,Horror,Thriller"
2567,arlington road,1999,1999,tt0137363,movie,arlington road,arlington road,0.0,1999.0,,117,"Action,Crime,Drama"
1815,armageddon,1998,1998,tt0120591,movie,armageddon,armageddon,0.0,1998.0,,151,"Action,Adventure,Sci-Fi"
2328,armed and dangerous,1986,1986,tt0090660,movie,armed and dangerous,armed and dangerous,0.0,1986.0,,88,"Action,Comedy,Crime"
923,around the world in 80 days,1956,1956,tt0048960,movie,around the world in 80 days,around the world in 80 days,0.0,1956.0,,167,"Adventure,Comedy,Family"
1207,arsenic and old lace,1944,1944,tt0036613,movie,arsenic and old lace,arsenic and old lace,0.0,1944.0,,118,"Comedy,Crime,Thriller"
1614,artemisia,1997,1997,tt0123385,movie,artemisia,artemisia,0.0,1997.0,,98,"Biography,Drama,History"
3281,arthur,1981,1981,tt0082031,movie,arthur,arthur,0.0,1981.0,,97,"Comedy,Romance"
1690,as good as it gets,1997,1997,tt0119822,movie,as good as it gets,as good as it gets,0.0,1997.0,,139,"Comedy,Drama,Romance"
628,asfour stah,1990,1990,tt0090665,movie,halfaouine: boy of the terraces,asfour stah,0.0,1990.0,,98,"Comedy,Drama"
2597,assassination,1987,1987,tt0092585,movie,assassination,assassination,0.0,1987.0,,88,"Action,Drama,Thriller"
29,assassins,1995,1995,tt0112401,movie,assassins,assassins,0.0,1995.0,,133,"Action,Crime,Thriller"
3455,assault on precinct 13,1976,1976,tt0074156,movie,assault on precinct 13,assault on precinct 13,0.0,1976.0,,91,"Action,Crime,Thriller"
3482,asylum,1972,1972,tt0068230,movie,asylum,asylum,0.0,1972.0,,88,Horror
3483,asylum,1972,1972,tt0775421,movie,asylum,asylum,0.0,1972.0,,95,Documentary
2311,at first sight,1999,1999,tt0132512,movie,at first sight,at first sight,0.0,1999.0,,128,"Drama,Romance"
2012,atlantic city,1980,1980,tt0080388,movie,atlantic city,atlantic city,0.0,1980.0,,104,"Crime,Drama,Romance"
1268,audrey rose,1977,1977,tt0075704,movie,audrey rose,audrey rose,0.0,1977.0,,113,"Drama,Fantasy,Horror"
660,august,1996,1996,tt0115591,movie,august,august,0.0,1996.0,,94,"Comedy,Drama,Romance"
3304,auntie mame,1958,1958,tt0051383,movie,auntie mame,auntie mame,0.0,1958.0,,143,"Comedy,Drama,Romance"
1438,austin powers: international man of mystery,1997,1997,tt0118655,movie,austin powers: international man of mystery,austin powers: international man of mystery,0.0,1997.0,,94,"Adventure,Comedy"
2551,austin powers: the spy who shagged me,1999,1999,tt0145660,movie,austin powers: the spy who shagged me,austin powers: the spy who shagged me,0.0,1999.0,,95,"Action,Adventure,Comedy"
